town,slum,localnbc,pid,townid,nbc,oid_1,sluc,u_id,countyid,name,streetaddress,parceloid,nh_gis_id,displayid,SHAPE__Length,slu,objectid,SHAPE__Area
Portsmouth,,204,0108-0006-0000,178,34,,14,178-33190,8,CamaID: 0108-0006-0001,229 PLEASANT ST #1,485525,08178-0108-0006-0000,0108-0006-0001,558.838461172453,14,179410,13674.9040267091
Portsmouth,,101,0103-0020-0000,178,2,,11,178-32976,8,CamaID: 0103-0020-0000,3 WALTON ALY,485526,08178-0103-0020-0000,0103-0020-0000,171.545498836391,11,179411,1737.39926241401
Portsmouth,,108,0108-0005-0000,178,8,,11,178-33182,8,CamaID: 0108-0005-0000,36 RICHMOND ST,485527,08178-0108-0005-0000,0108-0005-0000,197.157565982104,11,179412,2393.50914791356
Portsmouth,73,101,0103-0023-0000,178,2,,11,178-32979,8,CamaID: 0103-0023-0000,122 MECHANIC ST,485528,08178-0103-0023-0000,0103-0023-0000,272.202627502246,11-73,179413,3831.6759464562
Portsmouth,,101,0103-0017-0000,178,2,,11,178-32973,8,CamaID: 0103-0017-0000,188 GATES ST,485529,08178-0103-0017-0000,0103-0017-0000,261.115755741811,11,179414,3774.43665991909
Portsmouth,73,101,0103-0024-0000,178,2,,11,178-32980,8,CamaID: 0103-0024-0000,114 MECHANIC ST,485530,08178-0103-0024-0000,0103-0024-0000,170.988767739448,11-73,179415,1772.42275968119
Portsmouth,,305,0108-0004-0000,178,60,,33,178-37968,8,CamaID: 0108-0004-0000,144 WASHINGTON ST,485531,08178-0108-0004-0000,0108-0004-0000,430.64856300184,33,179416,11461.5809824463
Portsmouth,,305,0103-0088-0000,178,60,,57,178-37185,8,CamaID: 0103-0088-0000,17 HANCOCK ST,485532,08178-0103-0088-0000,0103-0088-0000,329.783178859031,57,179417,6234.17489419303
Portsmouth,,108,0108-0016-0001,178,8,,11,178-37970,8,CamaID: 0108-0016-0001,213 PLEASANT ST,485533,08178-0108-0016-0001,0108-0016-0001,388.066225021983,11,179418,7976.651825264
Portsmouth,,108,0108-0003-0000,178,8,,11,178-50437,8,CamaID: 0108-0003-0001,81 WASHINGTON ST,485534,08178-0108-0003-0000,0108-0003-0001,286.877935246576,11,179419,5037.33663749865
Portsmouth,,305,0108-0008-0000,178,60,,57,178-37722,8,CamaID: 0108-0008-0000,WASHINGTON ST,485535,08178-0108-0008-0000,0108-0008-0000,528.883968594571,57,179420,11864.3204521583
Portsmouth,,305,0108-0009-0000,178,60,,57,178-33184,8,CamaID: 0108-0009-0000,58 WASHINGTON ST,485536,08178-0108-0009-0000,0108-0009-0000,325.050660767261,57,179421,5434.47375982716
Portsmouth,,108,0103-0100-0000,178,8,,11,178-38784,8,CamaID: 0103-0100-0000,27 HANCOCK ST,485537,08178-0103-0100-0000,0103-0100-0000,268.384633402467,11,179422,4109.47098419849
Portsmouth,,108,0104-0006-0000,178,8,,11,178-33052,8,CamaID: 0104-0006-0000,168 MARCY ST,485538,08178-0104-0006-0000,0104-0006-0000,286.374362004884,11,179423,5212.19240510956
Portsmouth,,302,0244-0008-0000,178,57,,33,178-35654,8,CamaID: 0244-0008-0000,750 LAFAYETTE RD,485539,08178-0244-0008-0000,0244-0008-0000,1795.81951250761,33,179424,170350.278289728
Portsmouth,,306,0201-0017-0000,178,62,,23,178-28574,8,CamaID: 0201-0017-0000,WENTWORTH HOUSE RD,485540,08178-0201-0017-0000,0201-0017-0000,343.166984848595,23,179425,7110.63574060832
Portsmouth,,306,0201-0016-0000,178,62,,27,178-35298,8,CamaID: 0201-0016-0000,WENTWORTH HOUSE RD,485541,08178-0201-0016-0000,0201-0016-0000,393.636677222984,27,179426,6227.29560619224
Portsmouth,,103B,0149-0036-0000,178,5,,11,178-34638,8,CamaID: 0149-0036-0000,139 WILLARD AVE,485542,08178-0149-0036-0000,0149-0036-0000,372.420776486553,11,179427,8217.73452732241
Portsmouth,,103B,0150-0040-0000,178,5,,11,178-34707,8,CamaID: 0150-0040-0000,130 WILLARD AVE,485543,08178-0150-0040-0000,0150-0040-0000,412.943387146676,11,179428,10548.4768052037
